Sender,Metabolite,Metabolite_Name,Receiver,Sensor,Commu_Score,metabolite_prop_in_sender,sensor_prop_in_receiver,Annotation,ztest_stat,ztest_pval,ttest_stat,ttest_pval,ranksum_test_stat,ranksum_test_pval,permutation_test_stat,permutation_test_pval,ztest_fdr,ttest_fdr,ranksum_test_fdr,permutation_test_fdr
Oligo,HMDB0001220,Prostaglandin E2,Epi,PTGER1,0.167372421,0.93129771,0.021833333,Receptor,-530.3280646,0,-16.76206697,4.63E-56,-1.730321351,0.041786439,0,0,0,8.32E-55,0.12528449,0
B,HMDB0001220,Prostaglandin E2,Fibro,PTGER1,0.239187987,0.487666667,0.065688488,Receptor,-747.5997725,0,-23.62936886,1.02E-98,-1.730321351,0.041786439,0,0,0,2.89E-97,0.12528449,0
Endo,HMDB0000538,Adenosine triphosphate,Endo,P2RX7,0.003150605,0.49833887,0.030849549,Receptor,-188.1516477,0,-5.946904813,1.89E-09,-1.730321351,0.041786439,0,0,0,1.10E-08,0.12528449,0
pDC,HMDB0001358,Retinal,Endo,RARA,0.07616638,0.284552846,0.136212625,Nuclear Receptor,-209.5829609,0,-6.624283837,2.85E-11,-1.730321351,0.041786439,0,0,0,1.85E-10,0.12528449,0
pDC,HMDB0001358,Retinal,Fibro,RARA,0.082330849,0.284552846,0.189164786,Nuclear Receptor,-219.2001054,0,-6.928252704,3.81E-12,-1.730321351,0.041786439,0,0,0,2.58E-11,0.12528449,0
Oligo,HMDB0001358,Retinal,T,RARA,0.099438648,0.432061069,0.069666667,Nuclear Receptor,-209.2413486,0,-6.613486505,3.05E-11,-1.730321351,0.041786439,0,0,0,1.98E-10,0.12528449,0
pDC,HMDB0001220,Prostaglandin E2,Fibro,PTGER1,0.251484662,0.617886179,0.065688488,Receptor,-781.5332124,0,-24.70190232,7.84E-106,-1.730321351,0.041786439,0,0,0,2.34E-104,0.12528449,0
Endo,HMDB0000305,Vitamin A,NK,RARA,0.005216884,0.058376839,0.042,Nuclear Receptor,-121.572739,0,-3.842546774,6.47E-05,-1.730321351,0.041786439,0,0,0,0.000257157,0.12528449,0
Oligo,HMDB0001358,Retinal,B,RARA,0.087168695,0.432061069,0.061,Nuclear Receptor,-193.829471,0,-6.126363645,6.46E-10,-1.730321351,0.041786439,0,0,0,3.89E-09,0.12528449,0
B,HMDB0001358,Retinal,Myeloid,RARA,0.088343029,0.167833333,0.283333333,Nuclear Receptor,-595.4117014,0,-18.81916399,3.67E-68,-1.730321351,0.041786439,0,0,0,7.72E-67,0.12528449,0
pDC,HMDB0001358,Retinal,Mast,RARA,0.094717503,0.284552846,0.136011478,Nuclear Receptor,-235.3047458,0,-7.437271704,1.10E-13,-1.730321351,0.041786439,0,0,0,8.18E-13,0.12528449,0
NK,HMDB0001358,Retinal,Epi,RARA,0.097238898,0.2615,0.196333333,Nuclear Receptor,-634.8875027,0,-20.06687473,7.99E-76,-1.730321351,0.041786439,0,0,0,1.82E-74,0.12528449,0
NK,HMDB0001220,Prostaglandin E2,Fibro,PTGER1,0.240900754,0.448166667,0.065688488,Receptor,-757.6795356,0,-23.9479597,8.03E-101,-1.730321351,0.041786439,0,0,0,2.31E-99,0.12528449,0
Fibro,HMDB0000248,Thyroxine,NK,THRA,0.022901818,0.088487585,0.0285,Nuclear Receptor,-870.5868452,0,-27.51661845,8.05E-125,-1.730321351,0.041786439,0,0,0,2.69E-123,0.12528449,0
