HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-78-7166_T_LUAD	-0.399568493663509	Cold	1.3781	0.1829	1.2217	0.3272	4.2162
TCGA-05-4427_T_LUAD	0.196245364400741	Hot	42.2503	6.705	0.4072	0.8892	247.2304
TCGA-49-4487_T_LUAD	0.712716474519084	Hot	6.4526	0.3268	3.5245	0.9699	30.9823
TCGA-73-4676_T_LUAD	-0.647328250150814	Cold	19.4589	7.3772	0.6109	0.1631	30.6496
TCGA-49-4507_T_LUAD	0.433710643197751	Hot	3.0284	1.1101	1.0166	1.3002	4.6782
TCGA-78-7148_T_LUAD	-0.0262385281066044	Cold	3.0789	1.9032	0.7133	0.1709	25.3226
TCGA-55-8514_T_LUAD	-0.585175534083863	Cold	5.7085	2.8056	2.479	0.2363	32.517
TCGA-93-A4JQ_T_LUAD	0.588815136540145	Hot	21.7735	2.7059	3.5423	1.725	35.639
TCGA-55-7576_T_LUAD	0.106877426348178	Hot	7.919	7.1952	1.4579	0.3211	34.077
TCGA-55-6969_T_LUAD	0.673704363533149	Hot	7.2021	0.7703	0.9254	1.554	12.679
TCGA-93-7347_T_LUAD	0.788929403226291	Hot	6.8546	11.8481	4.316	0.8514	49.2253
TCGA-69-7978_T_LUAD	0.771264826929099	Hot	58.6687	7.9311	2.2705	2.304	307.6773
TCGA-NJ-A4YF_T_LUAD	-0.686259670604956	Cold	0.9495	0.298	0.3248	0.0826	21.4131
TCGA-91-6830_T_LUAD	0.24388545057703	Hot	11.1563	7.1531	1.6118	1.3472	53.0139
TCGA-44-7672_T_LUAD	0.850911457957074	Hot	10.3508	8.5579	2.2018	0.312	69.9534
TCGA-78-7540_T_LUAD	-0.587504221491068	Cold	3.9825	3.8148	0.5626	0.2364	20.882
TCGA-55-7227_T_LUAD	0.489553018358873	Hot	20.929	14.2905	1.9303	0.9606	76.388
TCGA-MP-A4T6_T_LUAD	-0.146258400149048	Cold	5.4308	3.3898	8.958	0.1184	42.8925
TCGA-99-8028_T_LUAD	0.81979529435942	Hot	28.1917	3.6768	7.4655	0.9162	36.8625
TCGA-64-1677_T_LUAD	0.267108288737418	Hot	9.7459	0.872	1.3575	0.2642	25.5135
TCGA-05-4403_T_LUAD	0.299480394295403	Hot	4.8036	10.7039	1.8348	0.1789	48.2736
TCGA-44-6148_T_LUAD	-0.285173054356881	Cold	5.1932	13.633	3.5784	0.6587	15.7629
TCGA-55-6980_T_LUAD	0.406539230861222	Hot	10.6728	10.6936	1.684	0.685	59.988
TCGA-55-8511_T_LUAD	0.565290615251416	Hot	38.2124	1.4706	4.7257	1.2014	9.6883
TCGA-86-8278_T_LUAD	-0.492668375691655	Cold	10.3936	7.8545	0.8867	0.6644	44.7499
TCGA-78-7167_T_LUAD	-0.74541088250487	Cold	0.8018	1.8357	2.6792	0.3655	62.8293
TCGA-55-8615_T_LUAD	-0.74459890976478	Cold	1.1068	0.9727	0.5408	0.1925	17.0075
TCGA-55-A494_T_LUAD	-0.796540434670323	Cold	1.2093	0.9928	0.4293	0.1019	99.6191
TCGA-78-7147_T_LUAD	-0.254608654963691	Cold	3.9514	3.1645	2.6243	0.5326	24.4393
TCGA-97-A4M0_T_LUAD	0.435183720022081	Hot	11.1359	10.2917	4.0055	1.4306	25.052
TCGA-55-7573_T_LUAD	0.285836701333182	Hot	6.4003	12.5097	4.0821	1.5512	46.1319
TCGA-86-7714_T_LUAD	-0.600190958528396	Cold	4.3839	25.5175	0.5289	0.2091	18.0913
TCGA-64-1679_T_LUAD	-0.541839476974862	Cold	9.5474	14.1249	0.9827	0.231	100.7226
TCGA-64-1680_T_LUAD	-0.679314410116697	Cold	3.2986	5.3411	0.801	0.2715	7.3036
TCGA-86-8669_T_LUAD	0.15295048486304	Hot	5.7018	3.0641	0.7227	0.9325	118.5724
TCGA-78-7145_T_LUAD	-0.611364866376609	Cold	10.9109	15.7261	0.2906	0.1616	93.8601
TCGA-86-8075_T_LUAD	-0.515562817000108	Cold	13.8151	3.8094	1.2087	0.3529	18.6121
TCGA-99-8025_T_LUAD	-0.710247923265941	Cold	4.7855	2.6137	1.1113	0.3347	10.5355
TCGA-L9-A743_T_LUAD	0.627757044531319	Hot	14.3921	6.7932	4.0586	0.4952	55.1067
TCGA-86-8054_T_LUAD	-0.805779104283398	Cold	3.8884	0.8742	1.0794	0.3341	27.2083
TCGA-55-8094_T_LUAD	-0.74277658048976	Cold	1.4682	0.642	0.4998	0.0222	5.0756
TCGA-62-A470_T_LUAD	-0.679682855416184	Cold	4.5023	3.3698	1.6904	0.363	46.4963
TCGA-86-A456_T_LUAD	-0.109340981511914	Cold	21.9936	8.4086	2.7817	0.0582	18.8341
TCGA-MP-A4SW_T_LUAD	-0.338236190748442	Cold	6.8192	4.539	1.4403	0.5807	61.7571
TCGA-44-3919_T_LUAD	0.728391337920968	Hot	18.1242	8.1904	4.6994	1.0453	39.106
TCGA-80-5608_T_LUAD	-0.522249268703381	Cold	4.4077	0.5733	0.3604	0.1985	15.5701
TCGA-69-7973_T_LUAD	-0.63129686970054	Cold	4.2562	1.1391	1.4409	0.6246	73.345
TCGA-86-8671_T_LUAD	0.914882905384509	Hot	16.0461	5.1733	12.544	2.9901	58.8291
TCGA-67-3772_T_LUAD	0.197359423193725	Hot	1.7331	7.7309	2.0395	0.1078	32.7285
TCGA-35-4122_T_LUAD	0.746969439549507	Hot	15.5883	9.5164	1.3391	0.3318	26.1817
TCGA-55-8513_T_LUAD	-0.0443797543773845	Cold	12.4659	5.8936	7.7415	0.984	58.5214
